layer,value,Distance from Epicenter,Elevation,Geology,LULC,Lineament Density,NDVI,NDWI,Plain Curvature,Profile Curvature,River Density,Soil,latitude,longitude
landslide_zone,1,1894.167,376,1280,1121,4.71E+07,1119.5,1219,-23.8443,31.81483,1,1104.5,27.97876,94.26297
landslide_zone,1,1664.85,409,916,414.2,4.71E+07,283.8571,613,4.297081,-83.6366,1,217.9063,27.05909,93.54236
landslide_zone,1,1795.571,261,1101.667,608.6471,4.71E+07,413.5652,740.8333,0.537175,0.762826,1,342.8824,27.10647,93.65975
landslide_zone,1,1855.548,251,1355,795.9583,4.71E+07,474.1429,872.8889,2.172387,-20.6427,1,341.7692,27.08169,93.60816
landslide_zone,1,2318.5,4037,2000,6112.667,4.71E+07,6060,6126,13.55053,14.18899,1,6049.333,28.9205,95.3429
landslide_zone,1,1354,677,945.1818,610.7727,4.71E+07,541.1333,735,-21.9013,-54.9169,1,467.4,28.0791,96.5242
landslide_zone,1,1642.75,401,870.75,403.0667,4.71E+07,203.9091,522.4286,-5.92247,-2.39637,1,109.85,27.174,95.8011
landslide_zone,1,1969.538,178,1454.25,926.5652,4.71E+07,604.9615,929.2778,-0.42997,1.445668,1,476.4412,27.1034,93.6885
landslide_zone,1,1960.5,747,1354.333,1077,4.71E+07,1004.5,1222.5,-41.1587,-783.466,1,973.6667,27.4888,93.0153
landslide_zone,1,1133.4,1042,542.7917,223.1852,4.71E+07,224.087,346,-13.0904,0.325593,1,222.5556,27.8835,96.9262
landslide_zone,1,1362.125,670,973,606.1667,4.71E+07,535,729.4615,-24.808,-15.7166,1,479.1111,28.0822,96.5316
landslide_zone,1,2141,4307,1891,6882,4.71E+07,6753.333,6762,-10.0726,17.57298,1,6629.8,29.2409,95.9761
landslide_zone,1,1850.211,159.5,1229.256,730.484,4.71E+07,479.197,795.1357,3.796205,15.12611,1,406.2579,27.1614,93.7525
landslide_zone,1,1585.667,524,838.6667,501.625,4.71E+07,416.4444,604,8.221743,7.317967,1,359.3333,27.2743,92.9064
landslide_zone,1,1559.667,651,878,417.7273,4.71E+07,220.5909,525.25,-1.87131,21.33296,1,169.5556,26.9986,95.4993
landslide_zone,1,2511,1598,2066,2398,4.71E+07,2464,2462.833,3.261678,3.926741,1,2506,27.8837,93.0515
landslide_zone,1,2488.5,2487,1910.5,2338,4.71E+07,2297.25,2372.917,17.86861,-16.978,0,2245.833,27.44,92.2833
landslide_zone,1,1650,1737,1356.333,1360,4.71E+07,1496,1411,-49.3117,-720.38,1,1498,28.611,94.9829
landslide_zone,1,1873.4,526,1101,534.2222,4.71E+07,411.8571,669.4167,-6.18988,15.71981,1,340.4286,28.9986,94.8885
landslide_zone,1,1586.6,685,846.6667,632.1667,4.71E+07,536.75,774,-32.1399,8.309778,1,480.5,28.235,94.9612
landslide_zone,1,1855.548,251,1355,795.9583,4.71E+07,474.1429,872.8889,2.172387,-20.6427,1,341.7692,27.08449,93.60506
landslide_zone,1,1636.333,823,954.25,674,4.71E+07,640,834,-4.33441,-9.56449,1,567,27.14164,93.66496
landslide_zone,1,1891.074,259.6667,945.197,413.6791,4.71E+07,362.1429,604.1502,8.326101,47.20215,1,304.1037,27.05957,93.50103
landslide_zone,1,1939.071,362,1203.2,664.7692,4.71E+07,409.8125,735.9231,11.83473,-9.07535,1,342.4,27.10402,93.61157
landslide_zone,1,1865.5,399,1457.571,921.2308,4.71E+07,540.1923,889.42,8.003283,0.650045,1,410.4211,27.09292,93.61882
landslide_zone,1,1720.5,1784,1310.5,1255,4.71E+07,1122,1339.25,0.249141,-35.8035,1,1064,27.61791,93.84197
landslide_zone,1,1645.167,2331,1018.5,689.1667,4.71E+07,617.75,765.75,-19.2614,-60.9166,1,589.5,27.304,92.40781
landslide_zone,1,1970.583,197,1363.111,793.4118,4.71E+07,478,860.1538,-1.38691,1.079004,1,408.52,27.06993,93.61466
landslide_zone,1,2470.5,545,2064,1896.667,4.71E+07,1697,1961.333,-16.3568,22.122,1,1676.5,28.1737,94.7596
